iter	RMSE
838	88890.36187
839	88884.16458
840	88877.38501
841	88865.25352
842	88853.23473
843	88845.25841
844	88842.64272
845	88834.56278
846	88827.94356
847	88825.34919
848	88821.81602
849	88819.52938
850	88805.93823
851	88786.22997
852	88781.53328
853	88777.66052
854	88767.76201
855	88760.64375
856	88751.59071
857	88739.67168
858	88727.68786
859	88723.67254
860	88712.6486
861	88706.90238
862	88705.57202
863	88698.99949
864	88692.01331
865	88684.43742
866	88675.64738
867	88655.6287
868	88652.21492
869	88639.61621
870	88636.46001
871	88634.66683
872	88633.0937
873	88624.89792
874	88618.93412
875	88615.37209
876	88598.45767
877	88592.47052
878	88582.1209
879	88572.7484
880	88568.28213
881	88560.20084
882	88544.12103
883	88527.48963
884	88524.16945
885	88512.65485
886	88501.48541
887	88487.86377
888	88482.43706
889	88473.30991
890	88470.84021
891	88457.83079
892	88451.2034
893	88442.74731
894	88435.93283
895	88426.00331
896	88419.33852
897	88408.83286
898	88399.5494
899	88395.15382
900	88390.31747
901	88384.73737
902	88374.24873
903	88365.93467
904	88352.3371
905	88342.63077
906	88339.03475
907	88336.97716
908	88335.66526
909	88332.28075
910	88318.98625
911	88310.93176
912	88300.99655
913	88281.2169
914	88269.99709
915	88257.22459
916	88248.4303
917	88233.8141
918	88224.39736
919	88217.12136
920	88203.91229
921	88194.17666
922	88186.01229
923	88184.15733
924	88173.37095
925	88164.30396
926	88159.20064
927	88156.26972
928	88150.38896
929	88140.55222
930	88132.54606
931	88117.43589
932	88106.6279
933	88094.59534
934	88089.11888
935	88081.3598
936	88063.43579
937	88052.41081
938	88044.45591
939	88039.21337
940	88031.90717
941	88023.35273
942	88013.82361
943	88009.90201
944	88004.30702
945	87993.31277
946	87982.65351
947	87977.66374
948	87976.17508
949	87972.54541
950	87961.63742
951	87957.95769
952	87950.96786
953	87939.41318
954	87926.76951
955	87912.08004
956	87902.90126
957	87895.68898
958	87889.11317
959	87880.04679
960	87871.43712
961	87861.40598
962	87855.95071
963	87846.69469
964	87843.99707
965	87836.57348
966	87828.51852
967	87818.37616
968	87809.88804
969	87802.53698
970	87794.67078
971	87781.13646
972	87764.22028
973	87760.41407
974	87748.71207
975	87746.05343
976	87735.73774
977	87723.55422
978	87708.33055
979	87696.40627
980	87688.17588
981	87682.10244
982	87674.04991
983	87659.20733
984	87645.73326
985	87636.35557
986	87629.55534
987	87619.79916
988	87606.13987
989	87598.4229
990	87594.7557
991	87581.6392
992	87569.63003
993	87561.03098
994	87552.98831
995	87540.67874
996	87533.43251
997	87525.8922
998	87518.33285
999	87512.84148
